Age_Group,Gender,Financial_Background,Current_Study_Occupation,Sleep_Hours,Screen_Time,Free_Time_Activity,Exercise_Frequency,Stress_Level,Experienced_Issue,Main_Reason,Anxious_Exhausted_Frequency,Can_Talk_Openly,Current_Emotional_State,Preferred_Support_Resource,Need_MH_Awareness_in_College
15-18,Female,Middle Class,School Student,Less than 6 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Depression,Social media c,Sometimes,Yes,Happy and stable,Mental Health Apps,Yes
27-30,Male,Lower Class,Undergraduate Student,Less than 6 hours,More than 8 hours,Talk to friends/family,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,Sometimes,Neutral,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Social media c,Sometimes,Sometimes,Happy and stable,Family/Friends,No
15-18,Male,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Depression,Uncertainty ab,Sometimes,Yes,Stressed,Family/Friends,Yes
15-18,Male,Middle Class,School Student,Less than 6 hours,More than 8 hours,Watch movies / listen to music,Never,3 (Moderate),Depression,Academic press,Rarely,Yes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,1 (Very Low),Panic attacks,Family expecta,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
15-18,Male,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Anxious,Mental Health Apps,Yes
15-18,Female,Rich,School Student,More than 10 hours,6–8 hours,Scroll social media,Never,4 (High),Anxiety,Academic press,Rarely,Sometimes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,School Student,8–10 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Sometimes,Yes,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,2 (Low),Anxiety,Family expecta,Sometimes,Sometimes,Neutral,Family/Friends,No
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Go out / exercise,1–2 times a week,3 (Moderate),Panic attacks,Family expecta,Often,Yes,Happy and stable,Family/Friends,No
27-30,Male,Lower Class,Currently Unemployed,Less than 6 hours,More than 8 hours,Watch movies / listen to music,Never,4 (High),None of these,Not applicable,Often,Sometimes,Stressed,Family/Friends,Yes
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Watch movies / listen to music,1–2 times a week,4 (High),Anxiety,Academic press,Sometimes,Sometimes,Depressed / Burnt out,Family/Friends,Yes
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Stressed,Mental Health Apps,No
15-18,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Read or learn something new,3–5 times a week,3 (Moderate),Panic attacks,Social media c,Almost every day,Sometimes,Stressed,Family/Friends,Yes
23-26,Male,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,Sometimes,Neutral,Support Groups,Yes
15-18,Male,Rich,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Academic press,Rarely,No,Neutral,School/College Counselors,Yes
23-26,Male,Middle Class,Postgraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,Never,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Talk to friends/family,1–2 times a week,5 (Very High),None of these,Not applicable,Sometimes,Yes,Neutral,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Overthinking,Never,4 (High),Depression,Relationship i,Often,Sometimes,Happy and stable,School/College Counselors,Yes
19-22,Male,Rich,School Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,4 (High),Anxiety,Academic press,Rarely,Sometimes,Depressed / Burnt out,Online Therapy Platforms,No
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,Never,2 (Low),Depression,Academic press,Often,Sometimes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,Never,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
15-18,Female,Lower Class,School Student,8–10 hours,2–4 hours,Go out / exercise,Never,2 (Low),Anxiety,Academic press,Rarely,Sometimes,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,4 (High),Depression,Financial stre,Rarely,Yes,Stressed,Online Therapy Platforms,Yes
23-26,Male,Lower Class,Working Professional,6–8 hours,6–8 hours,Scroll social media,Never,4 (High),Panic attacks,Family expecta,Almost every day,Sometimes,Stressed,Mental Health Apps,No
23-26,Male,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Panic attacks,Academic press,Sometimes,Yes,Stressed,Mental Health Apps,Yes
23-26,Male,Middle Class,Working Professional,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Neutral,Online Therapy Platforms,No
23-26,Male,Rich,Undergraduate Student,8–10 hours,2–4 hours,Read or learn something new,3–5 times a week,5 (Very High),Depression,Academic press,Sometimes,Yes,Stressed,Family/Friends,Yes
27-30,Female,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,5 (Very High),Anxiety,Social media c,Sometimes,Sometimes,Neutral,Mental Health Apps,No
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),Depression,Relationship i,Often,No,Neutral,School/College Counselors,Yes
15-18,Male,Lower Class,School Student,Less than 6 hours,2–4 hours,Scroll social media,3–5 times a week,2 (Low),Panic attacks,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Rich,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,Never,3 (Moderate),Depression,Academic press,Rarely,Sometimes,Anxious,Online Therapy Platforms,Yes
23-26,Female,Middle Class,Currently Unemployed,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Relationship i,Rarely,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Male,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,Never,1 (Very Low),Anxiety,Academic press,Often,Sometimes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Postgraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,4 (High),Depression,Academic press,Sometimes,Yes,Stressed,Family/Friends,Yes
19-22,Male,Lower Class,School Student,More than 10 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Panic attacks,Family expecta,Sometimes,No,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Postgraduate Student,6–8 hours,More than 8 hours,Read or learn something new,3–5 times a week,1 (Very Low),None of these,Not applicable,Almost every day,No,Stressed,Mental Health Apps,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Overthinking,1–2 times a week,4 (High),None of these,Not applicable,Often,Sometimes,Depressed / Burnt out,Family/Friends,Yes
23-26,Male,Rich,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,Never,3 (Moderate),Depression,Social media c,Sometimes,No,Neutral,Support Groups,Yes
27-30,Male,Middle Class,Postgraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,Yes,Anxious,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Read or learn something new,Daily,4 (High),Anxiety,Social media c,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
19-22,Female,Rich,Working Professional,More than 10 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Depression,Family expecta,Often,No,Neutral,Online Therapy Platforms,Yes
15-18,Female,Rich,Currently Unemployed,8–10 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Neutral,Online Therapy Platforms,Yes
23-26,Female,Lower Class,Working Professional,6–8 hours,6–8 hours,Read or learn something new,3–5 times a week,4 (High),Depression,Academic press,Sometimes,No,Stressed,Online Therapy Platforms,Yes
19-22,Female,Middle Class,Undergraduate Student,More than 10 hours,2–4 hours,Scroll social media,Never,4 (High),None of these,Not applicable,Often,Yes,Neutral,Mental Health Apps,Yes
23-26,Female,Rich,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Depression,Academic press,Sometimes,Yes,Happy and stable,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Anxiety,Family expecta,Rarely,Yes,Stressed,School/College Counselors,Yes
19-22,Male,Rich,Currently Unemployed,8–10 hours,6–8 hours,Go out / exercise,Never,4 (High),Anxiety,Financial stre,Sometimes,Yes,Stressed,Support Groups,Yes
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Social media c,Often,No,Anxious,Family/Friends,Yes
15-18,Male,Middle Class,Undergraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,1–2 times a week,5 (Very High),None of these,Not applicable,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Scroll social media,Never,4 (High),Anxiety,Relationship i,Rarely,Sometimes,Neutral,School/College Counselors,Yes
19-22,Female,Lower Class,School Student,6–8 hours,More than 8 hours,Read or learn something new,Never,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Neutral,School/College Counselors,Yes
19-22,Female,Lower Class,Postgraduate Student,More than 10 hours,6–8 hours,Sleep / do nothing,3–5 times a week,3 (Moderate),Anxiety,Relationship i,Often,Yes,Stressed,Family/Friends,Yes
19-22,Female,Middle Class,Postgraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,3–5 times a week,4 (High),Anxiety,Family expecta,Sometimes,No,Happy and stable,Support Groups,No
19-22,Male,Lower Class,Undergraduate Student,8–10 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,No,Depressed / Burnt out,Mental Health Apps,Yes
19-22,Female,Lower Class,Undergraduate Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Depression,Academic press,Often,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Lower Class,School Student,More than 10 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Anxiety,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
15-18,Male,Rich,School Student,Less than 6 hours,6–8 hours,Read or learn something new,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Sometimes,Sometimes,Neutral,Support Groups,Yes
15-18,Male,Middle Class,School Student,8–10 hours,More than 8 hours,Watch movies / listen to music,Never,3 (Moderate),Anxiety,Financial stre,Sometimes,Yes,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,School Student,8–10 hours,2–4 hours,Talk to friends/family,3–5 times a week,2 (Low),None of these,Not applicable,Almost every day,Yes,Neutral,School/College Counselors,Yes
27-30,Female,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),Depression,Social media c,Often,No,Depressed / Burnt out,Mental Health Apps,Yes
23-26,Male,Rich,School Student,Less than 6 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),None of these,Not applicable,Often,Sometimes,Stressed,Family/Friends,Yes
15-18,Female,Rich,School Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),Depression,Academic press,Often,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Read or learn something new,3–5 times a week,3 (Moderate),Depression,Uncertainty ab,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Female,Lower Class,Postgraduate Student,8–10 hours,More than 8 hours,Scroll social media,3–5 times a week,4 (High),Depression,Social media c,Often,No,Anxious,Family/Friends,Yes
23-26,Male,Lower Class,Undergraduate Student,More than 10 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,Yes,Depressed / Burnt out,Support Groups,No
23-26,Male,Middle Class,School Student,8–10 hours,2–4 hours,Watch movies / listen to music,3–5 times a week,5 (Very High),Panic attacks,Academic press,Rarely,Yes,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,More than 10 hours,2–4 hours,Read or learn something new,1–2 times a week,3 (Moderate),Panic attacks,Relationship i,Often,Sometimes,Depressed / Burnt out,Online Therapy Platforms,Yes
23-26,Male,Rich,School Student,6–8 hours,More than 8 hours,Overthinking,1–2 times a week,5 (Very High),None of these,Not applicable,Sometimes,No,Neutral,Online Therapy Platforms,No
15-18,Female,Middle Class,Working Professional,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,2 (Low),Depression,Family expecta,Rarely,Yes,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Postgraduate Student,Less than 6 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Family expecta,Often,No,Stressed,Family/Friends,Yes
23-26,Male,Lower Class,Undergraduate Student,Less than 6 hours,More than 8 hours,Scroll social media,Never,3 (Moderate),Anxiety,Relationship i,Rarely,Sometimes,Neutral,Family/Friends,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,4 (High),Depression,Academic press,Sometimes,Sometimes,Stressed,Family/Friends,Yes
27-30,Male,Lower Class,Undergraduate Student,8–10 hours,More than 8 hours,Read or learn something new,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Neutral,Family/Friends,Yes
19-22,Female,Lower Class,School Student,6–8 hours,More than 8 hours,Scroll social media,Never,4 (High),Anxiety,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
15-18,Female,Lower Class,School Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,4 (High),Anxiety,Academic press,Rarely,Sometimes,Stressed,Family/Friends,No
15-18,Male,Rich,School Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,Sometimes,Stressed,Mental Health Apps,Yes
23-26,Female,Middle Class,School Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,Yes,Happy and stable,School/College Counselors,Yes
27-30,Female,Rich,Undergraduate Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Social media c,Sometimes,Yes,Neutral,Support Groups,Yes
23-26,Female,Middle Class,Currently Unemployed,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Academic press,Often,Sometimes,Happy and stable,Family/Friends,Yes
19-22,Male,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Panic attacks,Relationship i,Almost every day,Sometimes,Stressed,Family/Friends,Yes
19-22,Female,Middle Class,School Student,Less than 6 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,4 (High),Depression,Financial stre,Sometimes,Sometimes,Anxious,Family/Friends,Yes
15-18,Female,Middle Class,School Student,Less than 6 hours,6–8 hours,Go out / exercise,1–2 times a week,4 (High),Panic attacks,Relationship i,Almost every day,No,Stressed,School/College Counselors,Yes
15-18,Female,Middle Class,Currently Unemployed,6–8 hours,More than 8 hours,Watch movies / listen to music,Never,3 (Moderate),Depression,Social media c,Often,Sometimes,Neutral,Family/Friends,Yes
